x,f(x),integral
 0.00500, 0.00002, 0.00250
 0.01000, 0.00010, 0.00250
 0.01500, 0.00022, 0.00250
 0.02000, 0.00040, 0.00250
 0.02500, 0.00062, 0.00251
 0.03000, 0.00090, 0.00251
 0.03500, 0.00123, 0.00252
 0.04000, 0.00160, 0.00253
 0.04500, 0.00202, 0.00254
 0.05000, 0.00250, 0.00255
 0.05500, 0.00302, 0.00256
 0.06000, 0.00360, 0.00258
 0.06500, 0.00422, 0.00260
 0.07000, 0.00490, 0.00263
 0.07500, 0.00562, 0.00265
 0.08000, 0.00640, 0.00269
 0.08500, 0.00723, 0.00272
 0.09000, 0.00810, 0.00276
 0.09500, 0.00903, 0.00281
 0.10000, 0.01000, 0.00286
 0.10500, 0.01102, 0.00291
 0.11000, 0.01210, 0.00297
 0.11500, 0.01322, 0.00304
 0.12000, 0.01440, 0.00311
 0.12500, 0.01562, 0.00319
 0.13000, 0.01690, 0.00328
 0.13500, 0.01822, 0.00337
 0.14000, 0.01960, 0.00346
 0.14500, 0.02102, 0.00357
 0.15000, 0.02250, 0.00368
 0.15500, 0.02403, 0.00380
 0.16000, 0.02560, 0.00393
 0.16500, 0.02722, 0.00407
 0.17000, 0.02890, 0.00421
 0.17500, 0.03062, 0.00436
 0.18000, 0.03240, 0.00453
 0.18500, 0.03423, 0.00470
 0.19000, 0.03610, 0.00488
 0.19500, 0.03802, 0.00507
 0.20000, 0.04000, 0.00527
 0.20500, 0.04202, 0.00548
 0.21000, 0.04410, 0.00570
 0.21500, 0.04622, 0.00593
 0.22000, 0.04840, 0.00617
 0.22500, 0.05062, 0.00642
 0.23000, 0.05290, 0.00669
 0.23500, 0.05522, 0.00696
 0.24000, 0.05760, 0.00725
 0.24500, 0.06002, 0.00755
 0.25000, 0.06250, 0.00787
 0.25500, 0.06502, 0.00819
 0.26000, 0.06760, 0.00853
 0.26500, 0.07022, 0.00888
 0.27000, 0.07290, 0.00924
 0.27500, 0.07563, 0.00962
 0.28000, 0.07840, 0.01001
 0.28500, 0.08123, 0.01042
 0.29000, 0.08410, 0.01084
 0.29500, 0.08702, 0.01128
 0.30000, 0.09000, 0.01173
 0.30500, 0.09303, 0.01219
 0.31000, 0.09610, 0.01267
 0.31500, 0.09922, 0.01317
 0.32000, 0.10240, 0.01368
 0.32500, 0.10562, 0.01421
 0.33000, 0.10890, 0.01475
 0.33500, 0.11222, 0.01531
 0.34000, 0.11560, 0.01589
 0.34500, 0.11902, 0.01649
 0.35000, 0.12250, 0.01710
 0.35500, 0.12602, 0.01773
 0.36000, 0.12960, 0.01838
 0.36500, 0.13322, 0.01904
 0.37000, 0.13690, 0.01973
 0.37500, 0.14062, 0.02043
 0.38000, 0.14440, 0.02115
 0.38500, 0.14822, 0.02189
 0.39000, 0.15210, 0.02265
 0.39500, 0.15602, 0.02344
 0.40000, 0.16000, 0.02424
 0.40500, 0.16402, 0.02506
 0.41000, 0.16810, 0.02590
 0.41500, 0.17222, 0.02676
 0.42000, 0.17640, 0.02764
 0.42500, 0.18062, 0.02854
 0.43000, 0.18490, 0.02947
 0.43500, 0.18923, 0.03041
 0.44000, 0.19360, 0.03138
 0.44500, 0.19802, 0.03237
 0.45000, 0.20250, 0.03338
 0.45500, 0.20702, 0.03442
 0.46000, 0.21160, 0.03548
 0.46500, 0.21622, 0.03656
 0.47000, 0.22090, 0.03766
 0.47500, 0.22562, 0.03879
 0.48000, 0.23040, 0.03994
 0.48500, 0.23522, 0.04112
 0.49000, 0.24010, 0.04232
 0.49500, 0.24502, 0.04354
 0.50000, 0.25000, 0.04479
 0.50500, 0.25502, 0.04607
 0.51000, 0.26010, 0.04737
 0.51500, 0.26522, 0.04870
 0.52000, 0.27040, 0.05005
 0.52500, 0.27562, 0.05143
 0.53000, 0.28090, 0.05283
 0.53500, 0.28622, 0.05426
 0.54000, 0.29160, 0.05572
 0.54500, 0.29703, 0.05720
 0.55000, 0.30250, 0.05872
 0.55500, 0.30803, 0.06026
 0.56000, 0.31360, 0.06183
 0.56500, 0.31922, 0.06342
 0.57000, 0.32490, 0.06505
 0.57500, 0.33062, 0.06670
 0.58000, 0.33640, 0.06838
 0.58500, 0.34222, 0.07009
 0.59000, 0.34810, 0.07183
 0.59500, 0.35402, 0.07360
 0.60000, 0.36000, 0.07540
 0.60500, 0.36602, 0.07723
 0.61000, 0.37210, 0.07909
 0.61500, 0.37822, 0.08098
 0.62000, 0.38440, 0.08291
 0.62500, 0.39062, 0.08486
 0.63000, 0.39690, 0.08684
 0.63500, 0.40322, 0.08886
 0.64000, 0.40960, 0.09091
 0.64500, 0.41602, 0.09299
 0.65000, 0.42250, 0.09510
 0.65500, 0.42902, 0.09725
 0.66000, 0.43560, 0.09942
 0.66500, 0.44222, 0.10163
 0.67000, 0.44890, 0.10388
 0.67500, 0.45563, 0.10616
 0.68000, 0.46240, 0.10847
 0.68500, 0.46922, 0.11082
 0.69000, 0.47610, 0.11320
 0.69500, 0.48302, 0.11561
 0.70000, 0.49000, 0.11806
 0.70500, 0.49702, 0.12055
 0.71000, 0.50410, 0.12307
 0.71500, 0.51122, 0.12562
 0.72000, 0.51840, 0.12822
 0.72500, 0.52562, 0.13084
 0.73000, 0.53290, 0.13351
 0.73500, 0.54022, 0.13621
 0.74000, 0.54760, 0.13895
 0.74500, 0.55502, 0.14172
 0.75000, 0.56250, 0.14453
 0.75500, 0.57002, 0.14738
 0.76000, 0.57760, 0.15027
 0.76500, 0.58522, 0.15320
 0.77000, 0.59290, 0.15616
 0.77500, 0.60062, 0.15917
 0.78000, 0.60840, 0.16221
 0.78500, 0.61622, 0.16529
 0.79000, 0.62410, 0.16841
 0.79500, 0.63202, 0.17157
 0.80000, 0.64000, 0.17477
 0.80500, 0.64803, 0.17801
 0.81000, 0.65610, 0.18129
 0.81500, 0.66422, 0.18461
 0.82000, 0.67240, 0.18797
 0.82500, 0.68062, 0.19138
 0.83000, 0.68890, 0.19482
 0.83500, 0.69722, 0.19831
 0.84000, 0.70560, 0.20184
 0.84500, 0.71402, 0.20541
 0.85000, 0.72250, 0.20902
 0.85500, 0.73102, 0.21267
 0.86000, 0.73960, 0.21637
 0.86500, 0.74823, 0.22011
 0.87000, 0.75690, 0.22390
 0.87500, 0.76562, 0.22773
 0.88000, 0.77440, 0.23160
 0.88500, 0.78322, 0.23551
 0.89000, 0.79210, 0.23947
 0.89500, 0.80102, 0.24348
 0.90000, 0.81000, 0.24753
 0.90500, 0.81902, 0.25162
 0.91000, 0.82810, 0.25576
 0.91500, 0.83722, 0.25995
 0.92000, 0.84640, 0.26418
 0.92500, 0.85562, 0.26846
 0.93000, 0.86490, 0.27279
 0.93500, 0.87423, 0.27716
 0.94000, 0.88360, 0.28157
 0.94500, 0.89302, 0.28604
 0.95000, 0.90250, 0.29055
 0.95500, 0.91202, 0.29511
 0.96000, 0.92160, 0.29972
 0.96500, 0.93122, 0.30438
 0.97000, 0.94090, 0.30908
 0.97500, 0.95062, 0.31383
 0.98000, 0.96040, 0.31864
 0.98500, 0.97022, 0.32349
 0.99000, 0.98010, 0.32839
 0.99500, 0.99002, 0.33334
